,site_name,site_city,site_county,site_zip,site_setting,number_sessions,num_volunteers,total_volunteer_hours,participants_total,participants_gender_male,participants_gender_female,participants_gender_non_binary,participants_gender_prefer_not_to_respond,participants_age_youth,participants_age_lt5,participants_age_5to7,participants_age_8to10,participants_age_11to13,participants_age_14to17,participants_age_18to29,participants_age_30to59,participants_age_60to75,participants_age_76plus,participants_age_adult,participants_ethnicity_hispanic,participants_ethnicity_non_hispanic,participants_ethnicity_prefer_not_to_respond,participants_ethnicity_unknown,participants_amerind_onerace_total,participants_amerind_multirace_total,participants_asian_onerace_total,participants_asian_multirace_total,participants_black_onerace_total,participants_black_multirace_total,participants_hawpac_onerace_total,participants_hawpac_multirace_total,,participants_white_multirace_total,participants_race_amerind,participants_race_asian,participants_race_black,participants_race_hawpac,participants_race_white,participants_race_two_or_more,participants_race_prefer_not_to_respond,participants_race_unknown
333,Suffolk Extension Office,Suffolk,Suffolk,23434,Extension offices,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
334,Lakemont Elementary School,Petersburg,Petersburg,23805,"Schools (K-12, elementary, middle, and high)",5,2,NA,19,12,7,NA,NA,19,NA,19,NA,NA,NA,0,0,NA,NA,NA,10,9,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,6,NA,3,0,NA,10
335,Marshall Center,Spotsylvania,Spotsylvania,22553,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
336,Lakemont Elementary School,Petersburg,Petersburg,23805,"Schools (K-12, elementary, middle, and high)",5,2,NA,14,9,5,NA,NA,14,NA,14,NA,NA,NA,0,0,NA,NA,NA,6,8,NA,NA,0,0,0,0,0,0,0,0,0,0,1,NA,7,NA,NA,0,NA,6
337,Hazel Hill Apartments,Fredericksburg,Fredericksburg,22401,Individual homes or public housing sites,6,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,2,NA,2,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,2,0,NA,NA
338,Lakemont Elementary School,Petersburg,Petersburg,23805,"Schools (K-12, elementary, middle, and high)",4,2,NA,17,10,7,NA,NA,17,NA,17,NA,NA,NA,0,0,NA,NA,NA,2,15,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,13,NA,1,0,NA,3
339,Hurley Elementary/Middle,Hurley,Buchanan,24620,"Schools (K-12, elementary, middle, and high)",6,1,1,15,8,7,NA,NA,15,NA,15,NA,NA,NA,0,0,NA,NA,NA,NA,15,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,15,0,NA,NA
340,Lakemont Elem School,Petersburg,Petersburg,23803,"Schools (K-12, elementary, middle, and high)",4,2,NA,19,12,7,NA,NA,19,NA,19,NA,NA,NA,0,0,NA,NA,NA,8,11,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,1,10,NA,NA,0,NA,8
341,Hiltons Elementary School,Hiltons,Scott,24258,,5,0,0,18,10,8,NA,NA,18,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,18,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,18,0,NA,NA
342,Yuma Elementary School,Gate City,Scott,24251,"Schools (K-12, elementary, middle, and high)",6,0,0,13,6,7,NA,NA,13,NA,13,NA,NA,NA,0,0,NA,NA,NA,NA,13,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,1,NA,12,0,NA,NA
343,Yuma Elementary School,Gate City,Scott,24251,"Schools (K-12, elementary, middle, and high)",6,0,0,13,6,7,NA,NA,13,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,13,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,13,0,NA,NA
344,Lakemont Elem School,Petersburg,Petersburg,23803,"Schools (K-12, elementary, middle, and high)",4,2,NA,14,7,7,NA,NA,14,NA,14,NA,NA,NA,0,0,NA,NA,NA,1,13,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,12,NA,1,0,NA,1
345,Lakemont Elem School,Petersburg,Petersburg,23803,"Schools (K-12, elementary, middle, and high)",4,2,2,16,9,7,NA,NA,16,NA,16,NA,NA,NA,0,0,NA,NA,NA,1,15,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,13,NA,2,0,NA,1
346,Lakemont Elem School,Petersburg,Petersburg,23803,"Schools (K-12, elementary, middle, and high)",4,2,NA,20,10,10,NA,NA,20,NA,20,NA,NA,NA,0,0,NA,NA,NA,0,20,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,19,NA,1,0,NA,NA
347,Lakemont Elem School,Petersburg,Petersburg,23803,"Schools (K-12, elementary, middle, and high)",4,2,NA,15,7,8,NA,NA,15,NA,15,NA,NA,NA,0,0,NA,NA,NA,0,15,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,15,NA,NA,0,NA,NA
348,Lakemont Elem School,Petersburg,Petersburg,23803,"Schools (K-12, elementary, middle, and high)",4,2,NA,15,9,6,NA,NA,15,NA,15,NA,NA,NA,0,0,NA,NA,NA,6,9,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,8,NA,1,0,NA,6
349,Lakemont Elem School,Petersburg,Petersburg,23803,"Schools (K-12, elementary, middle, and high)",3,2,NA,19,11,8,NA,NA,19,NA,19,NA,NA,NA,0,0,NA,NA,NA,1,18,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,17,NA,NA,0,NA,2
350,Lakemont Elem School,Petersburg,Petersburg,23803,"Schools (K-12, elementary, middle, and high)",3,2,NA,16,10,6,NA,NA,16,NA,16,NA,NA,NA,0,0,NA,NA,NA,7,9,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,9,NA,NA,0,NA,7
351,Disciples Kitchen,Waynesboro,Waynesboro,22980,Soup kitchens,1,NA,NA,11,4,7,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,11,0,11,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,1,NA,10,0,NA,NA
352,Fredericksburg Regional Food Bank,Fredericksburg,Fredericksburg,22408,"Food assistance sites, food banks, and food pantries",1,NA,NA,7,2,4,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,7,NA,7,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,1,3,NA,4,0,NA,NA
353,South Hill Elementary School,South Hill,Mecklenburg,23970,"Schools (K-12, elementary, middle, and high)",6,9,9,25,12,13,NA,NA,25,NA,25,NA,NA,NA,0,0,NA,NA,NA,1,24,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,12,NA,15,0,NA,NA
354,Yuma Elementary School,Gate City,Scott,24251,"Schools (K-12, elementary, middle, and high)",6,0,0,13,8,5,NA,NA,13,NA,13,NA,NA,NA,0,0,NA,NA,NA,NA,13,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,13,0,NA,NA
355,Yuma Elementary School,Gate City,Scott,24251,"Schools (K-12, elementary, middle, and high)",6,NA,NA,12,8,4,NA,NA,12,NA,12,NA,NA,NA,0,0,NA,NA,NA,NA,12,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,12,0,NA,NA
356,VCE Brunswick,Lawrenceville,Brunswick,23868,Extension offices,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
357,Bay Aging Advisory Council,Urbanna,Middlesex,23175,Community organizations,6,NA,NA,7,1,6,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,4,7,NA,7,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,4,NA,3,0,NA,NA
358,TC Virginia Cooperative Extension,Tazewell,Tazewell,24630,Extension offices,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,1,NA,1,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,0,NA,NA
359,Virtual Lesson,Hillsville,Carroll,24343,,1,0,NA,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,3,NA,3,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,3,0,NA,NA
360,Virtual Lesson,Hillsville,Carroll,24343,,1,0,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,2,1,1,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,2,0,NA,NA
361,Virtual Lesson,Hillsville,Carroll,24343,,1,0,0,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,NA,2,NA,2,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,2,0,NA,NA
362,Arlington Food Assistance Center (AFAC),Arlington,Arlington,22206,"Food assistance sites, food banks, and food pantries",1,NA,NA,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,5,NA,NA,5,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,5,NA
363,South Boston Halifax County YMCA,South Boston,Halifax,24592,"Youth Organizations (e.g. Boys or Girls Clubs, YMCA)",6,NA,NA,2,1,1,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,1,2,0,2,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,2,0,NA,NA
364,Claridge Senior Program,Alexandria,Alexandria,22304,,6,NA,NA,17,1,16,NA,NA,NA,NA,NA,NA,NA,NA,0,0,17,NA,17,NA,NA,17,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,17,NA
365,Myra,Hillsville,Carroll,24343,,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
366,Clark Elementary School,Charlottesville,Charlottesville,22902,"Schools (K-12, elementary, middle, and high)",3,1,2.5,52,25,27,NA,NA,52,NA,52,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,52,0,0,0,0,0,0,0,0,0,0,1,8,17,NA,25,0,NA,1
367,Clark Elementary School,Charlottesville,Charlottesville,22902,"Schools (K-12, elementary, middle, and high)",3,1,1.5,39,15,24,NA,NA,39,NA,39,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,39,0,0,0,0,0,0,0,0,0,0,3,10,17,NA,9,0,NA,NA
368,Clark Elementary School,Charlottesville,Charlottesville,22902,"Schools (K-12, elementary, middle, and high)",3,1,1.5,49,28,21,NA,NA,49,NA,49,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,49,0,0,0,0,0,0,0,0,0,0,2,7,16,NA,24,0,NA,NA
369,Kids Central,Norton,Norton,24270,"Early care and education facilities (includes child care centers and day care homes as well as Head Start, preschool, and pre-kindergarten programs)",3,2,NA,13,6,7,NA,NA,13,13,NA,NA,NA,NA,0,0,NA,NA,NA,NA,13,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,3,NA,10,0,NA,NA
370,Montgomery County Cooperative Extension,Christiansburg,Montgomery,24073,Extension offices,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,1,NA,1,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,0,NA,NA
371,Montgomery County Cooperative Extension,Christiansburg,Montgomery,24073,Extension offices,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,1,NA,1,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,0,NA,NA
372,Montgomery County Cooperative Extension,Christiansburg,Montgomery,24073,Extension offices,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,1,NA,1,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,0,NA,NA
373,Wallace Middle School,Bristol,Bristol,24202,"Schools (K-12, elementary, middle, and high)",3,1,6,183,90,93,NA,NA,183,NA,NA,NA,NA,NA,0,0,NA,NA,NA,3,180,NA,NA,NA,NA,2,NA,3,NA,NA,NA,169,NA,NA,2,3,NA,169,9,NA,NA
374,Chesterfield County Cooperative Extension,Chesterfield,Chesterfield,23832,,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,1,0,1,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,0,NA,NA
375,Appalachian Agency for Senior Citizens,Clintwood,Dickenson,24228,Senior centers,1,0,0,17,8,9,NA,NA,NA,NA,NA,NA,NA,NA,0,0,6,11,17,NA,17,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,17,0,NA,NA
376,Heritage Elementary School,Lynchburg,Lynchburg,24502,"Schools (K-12, elementary, middle, and high)",6,1,6,9,7,2,NA,NA,9,NA,9,NA,NA,NA,0,0,NA,NA,NA,1,8,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,6,NA,3,0,NA,NA
377,Sontag Elementary School,Rocky Mount,Franklin,24151,"Early care and education facilities (includes child care centers and day care homes as well as Head Start, preschool, and pre-kindergarten programs)",1,6,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
378,Pelham Community Center,Pelham,Caswell,27311,Community organizations,1,1,1,11,1,10,NA,NA,NA,NA,NA,NA,NA,NA,0,0,4,2,11,NA,11,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,9,NA,2,0,NA,NA
379,Gloucester VCE Office,Gloucester,Gloucester,23061,Extension offices,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,1,NA,1,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,0,NA,NA
380,Gloucester VCE Office,Gloucester,Gloucester,23061,Extension offices,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,1,NA,1,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,0,NA,NA
381,Gloucester VCE Office,Gloucester,Gloucester,23061,Extension offices,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,1,NA,1,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,0,NA,NA
382,Gloucester VCE Office,Gloucester,Gloucester,23061,Extension offices,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,1,NA,1,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,0,NA,NA
383,Gloucester VCE Office,Gloucester,Gloucester,23061,Extension offices,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,1,NA,1,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,0,NA,NA
384,Fred Lynn Middle School,Woodbridge,Albemarle,22191,"Schools (K-12, elementary, middle, and high)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
385,Victoria Park,Woodbridge,Albemarle,22191,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
386,Scottsville Elementary School,Scottsville,Albemarle,24590,,6,NA,NA,19,9,10,NA,NA,19,NA,19,NA,NA,NA,0,0,NA,NA,NA,2,17,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,4,NA,15,0,NA,NA
387,Montgomery County Cooperative Extension,Christiansburg,Montgomery,24073,Extension offices,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,1,NA,1,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,0,NA,NA
388,Scottsville Elementary School,Scottsville,Albemarle,24590,,6,NA,NA,20,9,11,NA,NA,20,NA,20,NA,NA,NA,0,0,NA,NA,NA,1,19,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,5,NA,15,0,NA,NA
389,Montgomery County Cooperative Extension,Christiansburg,Montgomery,24073,Extension offices,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,1,NA,1,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,0,NA,NA
390,Montgomery County Cooperative Extension,Christiansburg,Montgomery,24073,Extension offices,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,1,NA,1,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,0,NA,NA
391,Montgomery County Cooperative Extension,Christiansburg,Montgomery,24073,Extension offices,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,1,NA,1,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,0,NA,NA
392,Montgomery County Cooperative Extension,Christiansburg,Montgomery,24073,Extension offices,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
393,Elk Garden School Community Ministries,Rosedale,Russell,24280,Faith-based centers/places of worship,1,0,0,6,1,5,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,NA,6,NA,6,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,6,0,NA,NA
394,Gloucester VCE Office,Gloucester,Gloucester,23061,Extension offices,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,1,NA,1,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,0,NA,NA
395,Gloucester VCE Office,Gloucester,Gloucester,23061,Extension offices,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,1,NA,1,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,0,NA,NA
396,Gloucester VCE Office,Gloucester,Gloucester,23061,Extension offices,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,1,1,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,0,NA,NA
397,Green Valley Baptist Church,Lebanon,Russell,24266,Faith-based centers/places of worship,1,0,0,6,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,0,0,4,NA,6,NA,6,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,6,0,NA,NA
398,New Day Recovery,Saltville,Smyth,24370,"Other places people go to ""learn""",1,0,0,11,7,3,1,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,11,NA,11,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,11,0,NA,NA
399,Carver Middle School,Chester,Chesterfield,23831,"Schools (K-12, elementary, middle, and high)",1,1,NA,41,28,13,NA,NA,41,NA,NA,NA,NA,NA,0,0,NA,NA,NA,34,7,NA,NA,NA,NA,2,NA,25,NA,NA,NA,7,NA,NA,2,25,NA,7,NA,NA,7
400,Carver Middle School,Chester,Chesterfield,23831,"Schools (K-12, elementary, middle, and high)",1,1,NA,20,7,13,NA,NA,20,NA,NA,NA,NA,NA,0,0,NA,NA,NA,2,18,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,4,NA,NA,NA,14,NA,4,NA,NA,2
401,JCA School,Pembroke,Giles,24150,"Schools (K-12, elementary, middle, and high)",6,1,6,5,5,NA,NA,NA,5,NA,5,NA,NA,NA,0,0,NA,NA,NA,NA,5,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5,0,NA,NA
402,Kenbridge Elem. School,Kenbridge,Lunenburg,23944,Schools (colleges and universities),6,1,6,22,12,10,NA,NA,22,NA,22,NA,NA,NA,0,0,NA,NA,NA,8,14,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,7,NA,15,0,NA,NA
403,Kenbridge Elem. School,Kenbridge,Lunenburg,23944,Schools (colleges and universities),6,1,6,17,7,10,NA,NA,17,NA,17,NA,NA,NA,0,0,NA,NA,NA,6,11,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,6,NA,11,0,NA,NA
404,Kenbridge Elem. School,Kenbridge,Lunenburg,23944,Schools (colleges and universities),6,1,6,20,9,11,NA,NA,20,NA,20,NA,NA,NA,0,0,NA,NA,NA,7,13,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,6,NA,14,0,NA,NA
405,VCE Buchanan Co,Grundy,Buchanan,24614,Extension offices,9,NA,NA,8,2,6,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,8,NA,8,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,2,NA,6,0,NA,NA
406,Nelson Middle School,Lovingston,Nelson,22949,"Schools (K-12, elementary, middle, and high)",6,1,6,8,4,4,NA,NA,8,NA,NA,NA,8,NA,0,0,NA,NA,NA,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,7,NA,NA,1
407,Nelson Middle School,Lovingston,Nelson,22949,"Schools (K-12, elementary, middle, and high)",6,1,6,13,6,7,NA,NA,13,NA,NA,NA,13,NA,0,0,NA,NA,NA,2,11,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,9,NA,NA,NA,2,NA,9,NA,NA,2
408,Bowling Green Elementary,Milford,Caroline,22514,"Schools (K-12, elementary, middle, and high)",6,NA,NA,20,10,10,NA,NA,20,NA,20,NA,NA,NA,0,0,NA,NA,NA,0,20,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,3,NA,17,0,NA,NA
409,Bowling Green Elementary,Milford,Caroline,22514,"Schools (K-12, elementary, middle, and high)",6,NA,NA,22,10,12,NA,NA,22,NA,22,NA,NA,NA,0,0,NA,NA,NA,2,20,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,5,NA,15,0,NA,2
410,Bowling Green Elementary,Milford,Caroline,22514,"Schools (K-12, elementary, middle, and high)",6,NA,NA,18,7,11,NA,NA,18,NA,18,NA,NA,NA,0,0,NA,NA,NA,0,18,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,4,NA,14,0,NA,NA
411,Bowling Green Elementary,Milford,Caroline,22514,"Schools (K-12, elementary, middle, and high)",6,NA,NA,20,12,8,NA,NA,20,NA,20,NA,NA,NA,0,0,NA,NA,NA,1,19,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,9,NA,10,0,NA,1
412,Bowling Green Elementary,Milford,Caroline,22514,"Schools (K-12, elementary, middle, and high)",6,NA,NA,19,10,9,NA,NA,19,NA,19,NA,NA,NA,0,0,NA,NA,NA,1,18,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,5,5,8,0,NA,1
413,Bowling Green Elementary,Milford,Caroline,22514,"Schools (K-12, elementary, middle, and high)",6,NA,NA,19,7,12,NA,NA,19,NA,19,NA,NA,NA,0,0,NA,NA,NA,1,18,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,6,NA,12,0,NA,1
414,Bailey's Community Center,Falls Church,Falls Church,22041,,6,NA,NA,15,7,8,NA,NA,15,NA,NA,NA,15,NA,0,0,NA,NA,NA,4,11,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,9,NA,6,0,NA,NA
415,Lee County Extension Office,Pennington Gap,Lee,24277,Extension offices,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
416,Caldwell,Radford,Radford,24141,Individual homes or public housing sites,6,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,2,NA,2,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,2,0,NA,NA
417,Montgomery County Cooperative Extension,Christiansburg,Montgomery,24073,Extension offices,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,1,NA,1,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,0,NA,NA
418,Montgomery County Cooperative Extension,Christiansburg,Montgomery,24073,Extension offices,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,1,NA,1,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,0,NA,NA
419,Montgomery County Cooperative Extension,Christiansburg,Montgomery,24073,Extension offices,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,1,NA,1,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,1,NA,NA,0,NA,NA
420,Gloucester VCE Office,Gloucester,Gloucester,23061,Extension offices,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,1,NA,1,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,0,NA,NA
421,Gloucester VCE Office,Gloucester,Gloucester,23061,Extension offices,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,1,NA,1,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,0,NA,NA
422,Gloucester VCE Office,Gloucester,Gloucester,23061,Extension offices,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,1,NA,1,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,0,NA,NA
423,Gloucester VCE Office,Gloucester,Gloucester,23061,Extension offices,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,1,NA,1,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,0,NA,NA
424,Sixth Mount Zion,Hampton,Hampton,23666,,1,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,3,1,2,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,3,NA,NA,0,NA,NA
425,JCA School,Pembroke,Giles,24150,"Schools (K-12, elementary, middle, and high)",6,6,6,10,3,7,NA,NA,10,NA,10,NA,NA,NA,0,0,NA,NA,NA,NA,10,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,10,0,NA,NA
426,Caroline Healthy Generations AAA,Milford,Caroline,22514,Congregate meal sites & other senior nutrition centers,6,NA,NA,5,1,3,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,3,5,NA,3,NA,2,0,0,0,0,0,0,0,0,0,0,NA,NA,2,NA,2,0,NA,1
